feature_gene,uniprot_id,tier,source,has_esm2_embedding
SPATS2L,Q9NUQ6,1,HGNC_symbol,False
SPC24,Q8NBT2,1,HGNC_symbol,True
SPC25,Q9HBM1,1,HGNC_symbol,False
SPCS1,Q9Y6A9,1,HGNC_symbol,True
SPCS2,Q15005,1,HGNC_symbol,False
SPCS2P4,,0,unmapped,False
SPCS3,P61009,1,HGNC_symbol,True
SPDEF,O95238,1,HGNC_symbol,False
SPDL1,Q96EA4,1,HGNC_symbol,False
SPDYA,Q5MJ70,1,HGNC_symbol,True
SPDYC,Q5MJ68,1,HGNC_symbol,False
SPDYE1,Q8NFV5,1,HGNC_symbol,False
SPDYE10,P0DUX0,1,HGNC_symbol,False
SPDYE11,P0DTA3,1,HGNC_symbol,False
SPDYE12,P0DUX1,1,HGNC_symbol,False
SPDYE13,A0A494C0Z2,1,HGNC_symbol,False
SPDYE14,P0DUD3,1,HGNC_symbol,True
SPDYE15,P0DUD4,1,HGNC_symbol,True
SPDYE16,A6NNV3,1,HGNC_symbol,False
SPDYE17,P0DUD2,1,HGNC_symbol,False
SPDYE18,P0DV79,1,HGNC_symbol,False
SPDYE2,Q495Y8,1,HGNC_symbol,True
SPDYE21,A0A494C086,1,HGNC_symbol,False
SPDYE2B,A6NHP3,1,HGNC_symbol,True
SPDYE3,A6NKU9,1,HGNC_symbol,True
SPDYE4,A6NLX3,1,HGNC_symbol,False
SPDYE5,A6NIY4,1,HGNC_symbol,True
SPDYE6,P0CI01,1,HGNC_symbol,False
SPDYE8,P0DUD1,1,HGNC_symbol,False
SPDYE9,A0A494C191,1,HGNC_symbol,False
SPECC1,Q5M775,1,HGNC_symbol,False
SPECC1L,Q69YQ0,1,HGNC_symbol,False
SPEF1,Q9Y4P9,1,HGNC_symbol,False
SPEF2,Q9C093,1,HGNC_symbol,False
SPEG,Q15772,1,HGNC_symbol,False
SPEGNB,A0A087WV53,1,HGNC_symbol,True
SPEM1,Q8N4L4,1,HGNC_symbol,True
SPEM2,Q0P670,1,HGNC_symbol,True
SPEM3,A0A1B0GUW6,1,HGNC_symbol,False
SPEN,Q96T58,1,HGNC_symbol,False
SPESP1,Q6UW49,1,HGNC_symbol,False
SPG11,Q96JI7,1,HGNC_symbol,False
SPG20,23111,5,STRING_alias,False
SPG20OS,,0,unmapped,False
SPG21,Q9NZD8,1,HGNC_symbol,True
SPG7,Q9UQ90,1,HGNC_symbol,True
SPHK1,Q9NYA1,1,HGNC_symbol,False
SPHK2,Q9NRA0,1,HGNC_symbol,True
SPHKAP,Q2M3C7,1,HGNC_symbol,False
SPI1,P17947,1,HGNC_symbol,True
SPIB,Q01892,1,HGNC_symbol,True
SPIC,Q8N5J4,1,HGNC_symbol,True
SPICE1,Q8N0Z3,1,HGNC_symbol,True
SPIDR,Q14159,1,HGNC_symbol,True
SPIN1,Q9Y657,1,HGNC_symbol,True
SPIN2A,Q99865,1,HGNC_symbol,True
SPIN2B,Q9BPZ2,1,HGNC_symbol,True
SPIN3,Q5JUX0,1,HGNC_symbol,True
SPIN4,Q56A73,1,HGNC_symbol,False
