2026-04-11 00:25:30 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:30 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 50/200 — train_loss=0.8398 val_loss=1.0045 recon=0.6566 kl=0.1832 kl_weight=1.0000
2026-04-11 00:25:31 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:32 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 51/200 — train_loss=0.6388 val_loss=1.0115 recon=0.6388 kl=0.1844 kl_weight=0.0000
2026-04-11 00:25:32 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 52/200 — train_loss=0.6538 val_loss=1.0269 recon=0.6462 kl=0.1883 kl_weight=0.0400
2026-04-11 00:25:33 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 53/200 — train_loss=0.6162 val_loss=1.0449 recon=0.5993 kl=0.2109 kl_weight=0.0800
2026-04-11 00:25:33 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 54/200 — train_loss=0.6298 val_loss=1.0584 recon=0.6006 kl=0.2437 kl_weight=0.1200
2026-04-11 00:25:33 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 55/200 — train_loss=0.6260 val_loss=1.0681 recon=0.5825 kl=0.2719 kl_weight=0.1600
2026-04-11 00:25:34 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 56/200 — train_loss=0.6263 val_loss=1.0803 recon=0.5615 kl=0.3239 kl_weight=0.2000
2026-04-11 00:25:34 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 57/200 — train_loss=0.6324 val_loss=1.0880 recon=0.5488 kl=0.3483 kl_weight=0.2400
2026-04-11 00:25:35 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 58/200 — train_loss=0.6453 val_loss=1.0882 recon=0.5322 kl=0.4042 kl_weight=0.2800
2026-04-11 00:25:35 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 59/200 — train_loss=0.6577 val_loss=1.0909 recon=0.5197 kl=0.4314 kl_weight=0.3200
